"x","y","cells","B02M","B03M","B04M","B08M","B02J","B03J","B04J","B08J","B02N","B03N","B04N","B08N","B02JA","B03JA","B04JA","B08JA","B05M","B06M","B07M","B11M","B12M","B8AM","B05J","B06J","B07J","B11J","B12J","B8AJ","B05N","B06N","B07N","B11N","B12N","B8AN","B05JA","B06JA","B07JA","B11JA","B12JA","B8AJA","class"
642619.56068349,6660758.83027309,13058,637,961,1026,3027,242,354,218,3220,588,776,912,2287,844,850,897,2391,1563.1875,2476.1875,2739.6875,2830.5,2134.75,2981.375,602,2101.75,2903.3125,1198.9375,673.8125,3133.875,1476.75,2242.625,2456.5625,1689.875,1108.0625,2720.125,1415.875,1983.8125,2100.0625,1193,773.125,2388.25,6
642649.56068349,6660758.83027309,13061,688,1022,1140,2955,242,335,216,3333,671,838,931,2213,816,829,862,2250,1579.5,2542.75,2842.0625,2850.5625,2182.9375,3067.25,605.375,2124.625,2989,1215.0625,666.875,3247.3125,1465.5,2215.25,2318.75,1712.1875,1203.6875,2498.3125,1396.5625,1871.5,2052.4375,1087.625,707.3125,2211.25,6
642679.56068349,6660758.83027309,13064,772,1123,1305,3047,252,381,294,3163,781,886,1026,2369,829,824,891,2158,1625.625,2660.1875,2949.5625,2910.75,2253.125,3131.5625,686.5,2184.25,2984.125,1274.6875,742.3125,3264.375,1480.5625,2122,2291,1765.625,1277.75,2430.0625,1322.625,1800.8125,2004.5,1023.9375,750.125,2109.25,6
642729.56068349,6660758.83027309,13069,869,1279,1467,3030,377,570,507,2948,889,925,1077,2612,823,925,1037,2288,1690.125,2569.5,2868.25,3018.75,2337.375,3069.25,917.875,2243.25,2863.375,1618.75,1013.375,3148.25,1458.25,2299.125,2415.375,1809.5,1237.5,2717.625,1421.5,2002.3125,2213.8125,1340.9375,871.8125,2449,6
642669.56068349,6660848.83027309,12145,401,731,576,3575,231,339,168,3955,648,749,959,1560,823,822,906,1674,1297.3125,2979.625,3378.4375,2358.4375,1557.4375,3532.3125,515.0625,2623.0625,3755.4375,1085.0625,478.1875,4057.5,1211.875,1455.8125,1547.3125,1533.0625,1165.5625,1739.625,1253.4375,1513.5625,1562.25,903.1875,667.875,1693.625,6
642659.56068349,6660878.83027309,11838,454,809,692,3531,229,358,164,3880,664,674,826,1480,823,840,862,1714,1348.5,2975.3125,3377.875,2379.4375,1569.625,3527.4375,548.5,2576.375,3643.375,1066.4375,477,3889,1158.8125,1408.125,1495.5625,1458.625,1125.25,1548.5625,1194.6875,1449.5625,1588.75,856.8125,613.25,1666,6
642609.56068349,6660918.83027309,11425,491,862,778,3357,248,314,161,3711,475,532,623,1112,786,780,796,1502,1433.5,2811.3125,3170.8125,2429.25,1674.0625,3313.75,486.625,2450.25,3537.25,1040.625,456.625,3743.75,922.4375,1121.25,1205.375,1198.875,936,1290.4375,1081,1354.25,1461.4375,892,641.875,1514.125,6
642709.56068349,6660918.83027309,11435,493,830,795,3230,243,328,169,3877,473,566,547,1036,769,690,714,1324,1397.625,2741.875,3050.3125,2319.75,1616.5625,3184.1875,468.625,2392.25,3615.5625,1062.3125,476.0625,3881.0625,803.0625,1022.875,1079.0625,922.125,729.5625,1119.875,906.625,1100.375,1133.125,696.5625,506.375,1224.3125,6
642619.56068349,6660958.83027309,11018,492,822,755,3352,247,313,153,3700,439,496,567,1129,656,727,774,1466,1397.625,2796.4375,3112.5625,2346.1875,1605.4375,3257.9375,483.5,2372.4375,3470.0625,1028,463.5625,3693.625,820.25,1048.1875,1124.4375,1011.875,770.3125,1126.5,1039.0625,1273.6875,1382.1875,858.5,598.4375,1443.375,6
642729.56068349,6660988.83027309,10723,584,920,914,3202,252,334,176,3753,468,601,667,1496,712,713,820,1742,1464.8125,2744.75,3090.5,2496.625,1745.6875,3222,469.875,2475.25,3711.9375,1185.5625,539.75,3956.375,1054.5625,1470.6875,1542.875,1311.8125,943.6875,1768.6875,1153.8125,1484.8125,1610.6875,1121.125,765.4375,1776,6
642619.56068349,6661028.83027309,10304,584,962,966,3183,263,320,185,4261,596,721,873,1804,901,849,948,1814,1623.5625,2649.5,2930,2746.0625,1990.6875,3128.125,684.875,2649.75,3765.625,1325.375,696.3125,4011.9375,1336.625,1681.6875,1882.8125,1709.6875,1257.5,2014.375,1384.6875,1641.3125,1814,1439.8125,1040.0625,1923.1875,6
642809.56068349,6661038.83027309,10221,611,851,1050,3188,336,560,320,3057,591,781,703,2845,843,856,909,2744,1592.5625,2392.375,2598.375,2859.9375,1921.75,2957,1155.8125,2973.5625,3284.75,1977.125,1060.8125,3579.5625,1273.1875,2022.5,2121.3125,1138.125,692.125,2349,1309.375,1852.5,1974.625,1033.375,716.1875,2246.5,6
642829.56068349,6661038.83027309,10223,660,986,1165,3237,348,718,339,4085,605,736,670,2751,895,941,1103,2933,1617.4375,2429.5,2693.5,2953.5,1944.8125,2957.875,1149.8125,3130.375,3580.3125,1887.125,967.75,3840.375,1205.9375,2102.375,2160.9375,1047.4375,685.9375,2538.75,1487.9375,2066.875,2099.375,1068.375,721,2547.4375,6
642929.56068349,6661068.83027309,9927,842,1169,1435,3453,351,728,392,4143,625,541,526,986,586,446,379,591,1958.375,2807.125,3032.375,3428.25,2262.6875,3399,1258.6875,3434.1875,3899.375,1981.4375,952.375,4286.9375,652.25,1021.1875,1008.0625,272.3125,201.25,1062.4375,540.9375,651.5625,691.5,196.9375,166.6875,680.125,6
642949.56068349,6661078.83027309,9827,830,1160,1456,3454,385,777,362,4429,524,463,327,627,632,455,315,585,2056.625,2756.0625,3093.8125,3598.5,2377.0625,3396.0625,1290.0625,3485.6875,4087.25,1923.4375,927.5,4488.75,518.9375,704.625,717.1875,210.1875,169.125,729.6875,467.4375,567.8125,591.3125,156.25,105.0625,605.1875,6
642779.56068349,6661098.83027309,9606,959,1248,1412,3053,701,1014,878,3826,598,623,632,1817,894,894,999,1924,1879.5,2672.1875,2913.0625,3268.125,2236.25,3210.4375,1510.1875,3443.25,3862.6875,2236.8125,1232.75,4179.75,1221.875,2179.875,2280.625,1106.8125,707.6875,2545.0625,1269.1875,1665.25,1792.0625,880.8125,643,1959.0625,6
